,Unnamed: 0,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena,Od centra
1611,4959,Beograd,Čukarica,Bele vode,galipoljska,Stan,46,2,EG,2,5,49000,0.408147727
1612,1389,Beograd,Novi Beograd,Blok 44 (TC Piramida),gandijeva,Stan,113,4,CG,6,7,112000,6.108722476
1613,2460,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,75,3,CG,7,9,79900,6.108722476
1614,861,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,69,2.5,CG,9,19,78900,6.108722476
1615,2264,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,43,1.5,CG,1,5,62000,6.108722476
1616,814,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,74,3,CG,2,12,85000,6.108722476
1617,4250,Beograd,Novi Beograd,Blok 44 (TC Piramida),gandijeva,Stan,66,2,CG,2,7,83000,6.108722476
1618,1999,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,50,1.5,CG,8,14,60000,6.108722476
1619,2262,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,81,3,CG,10,13,115000,6.108722476
1620,798,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,81,3,CG,1,14,97000,6.108722476
1621,355,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,37,1,CG,5,7,58000,6.108722476
1622,762,Beograd,Novi Beograd,Blok 44 (TC Piramida),gandijeva,Stan,113,4,CG,6,7,112000,6.108722476
1623,2974,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,150,5+,CG,14,14,135000,6.108722476
1624,2762,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,74,3,CG,2,12,85000,6.108722476
1625,1485,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,150,5+,CG,14,14,135000,6.108722476
1626,2840,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,75,2.5,CG,4,9,75000,6.108722476
1627,2842,Beograd,Novi Beograd,Blok 44 (TC Piramida),gandijeva,Stan,113,4,CG,6,7,112000,6.108722476
1628,581,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,81,3,CG,10,13,115000,6.108722476
1629,571,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,75,2.5,CG,4,9,75000,6.108722476
1630,5637,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,76,3,CG,12,13,85000,6.108722476
1631,5629,Beograd,Novi Beograd,Blok 70 (kineski tržni centar),gandijeva,Stan,60,2,CG,4,4,68500,6.108722476
1632,5626,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,62,2,CG,1,6,73900,6.108722476
1633,554,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,75,3,CG,7,9,79900,6.108722476
1634,2941,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,110,3,CG,6,12,122000,6.108722476
1635,1746,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,32,1,CG,3,5,54900,6.108722476
1636,752,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,65,2,CG,VPR,10,72000,6.108722476
1637,1424,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,37,1,CG,5,7,58000,6.108722476
1638,5758,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,84,3,CG,12,20,77000,6.108722476
1639,4433,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,32,1,CG,3,5,55000,6.108722476
1640,4228,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,67,2.5,CG,6,6,69900,6.108722476
1641,2324,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,75,2.5,CG,4,9,75000,6.108722476
1642,2660,Beograd,Novi Beograd,Blok 44 (TC Piramida),gandijeva,Stan,75,2.5,CG,PR,8,90000,6.108722476
1643,3393,Beograd,Novi Beograd,Blok 44 (TC Piramida),gandijeva,Stan,66,2,CG,2,7,82000,6.108722476
1644,5471,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,59,2,CG,1,7,73900,6.108722476
1645,3862,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,91,4,CG,1,4,125000,6.108722476
1646,63,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,32,1,CG,3,5,54900,6.108722476
1647,45,Beograd,Novi Beograd,Blok 44 (TC Piramida),gandijeva,Stan,66,2,CG,2,6,82000,6.108722476
1648,3486,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,92,3.5,CG,13,14,78000,6.108722476
1649,3943,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,69,2.5,CG,9,19,78900,6.108722476
1650,5307,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,76,3,CG,12,13,85000,6.108722476
1651,1535,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,61,2,CG,3,4,78500,6.108722476
1652,341,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,43,1.5,CG,1,5,62000,6.108722476
1653,5335,Beograd,Novi Beograd,Blok 44 (TC Piramida),gandijeva,Stan,74,2.5,CG,VPR,6,90000,6.108722476
1654,1800,Beograd,Novi Beograd,Blok 44 (TC Piramida),gandijeva,Stan,66,2,CG,2,6,82000,6.108722476
1655,2107,Beograd,Novi Beograd,Blok 44 (TC Piramida),gandijeva,Stan,113,4,CG,6,7,112000,6.108722476
1656,5389,Beograd,Novi Beograd,Blok 44 (TC Piramida),gandijeva,Stan,113,4,CG,6,7,109900,6.108722476
1657,1599,Beograd,Novi Beograd,Blok 44 (TC Piramida),gandijeva,Stan,66,2,CG,2,7,82000,6.108722476
1658,1565,Beograd,Novi Beograd,Blok 44 (TC Piramida),gandijeva,Stan,75,2.5,CG,PR,8,90000,6.108722476
1659,5240,Beograd,Novi Beograd,Blok 44 (TC Piramida),gandijeva,Stan,75,3.5,CG,VPR,7,94900,6.108722476
1660,5735,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,37,1,CG,5,6,58000,6.108722476
1661,2642,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,65,2,CG,VPR,10,72000,6.108722476
1662,279,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,50,1.5,CG,8,14,60000,6.108722476
1663,2641,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,81,3,CG,1,14,97000,6.108722476
1664,5508,Beograd,Novi Beograd,Blok 70 (kineski tržni centar),gandijeva,Stan,105,3,CG,1,2,174900,6.108722476
1665,1006,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,110,3,CG,6,12,122000,6.108722476
1666,2502,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,37,1,CG,5,7,58000,6.108722476
1667,2189,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,69,2.5,CG,9,19,78900,6.108722476
1668,5505,Beograd,Novi Beograd,Blok 62,gandijeva,Stan,66,2,CG,13,18,65000,6.108722476
1669,1638,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,85,3,CG,5,7,88000,6.108722476
1670,5190,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,50,2,CG,4,9,77500,6.108722476
1671,3356,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,61,2,CG,3,4,78500,6.108722476
1672,3099,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,37,1,CG,5,7,58000,6.108722476
1673,3371,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,85,3,CG,5,7,88000,6.108722476
1674,5816,Beograd,Novi Beograd,Blok 44 (TC Piramida),gandijeva,Stan,116,4,CG,6,6,155000,6.108722476
1675,933,Beograd,Novi Beograd,Blok 64,gandijeva,Stan,75,2.5,CG,4,9,75000,6.108722476
1676,5110,Beograd,Zemun,Save Kovačevića,garibaldijeva,Stan,21,0.5,CG,5,5,28900,2.796605785
1677,2968,Beograd,Zemun,Save Kovačevića,garibaldijeva,Stan,76,3,EG,2,3,102600,2.796605785
1678,5271,Beograd,Voždovac,Lekino brdo,garibaldijeva,Stan,80,3,CG,1,3,105000,2.796605785
1679,6041,Beograd,Voždovac,Lekino brdo,garibaldijeva,Stan,54,2,CG,2,3,95000,2.796605785
1680,3797,Beograd,Voždovac,Lekino brdo,garibaldijeva,Stan,77,3,EG,1,3,111000,2.796605785
1681,1466,Beograd,Zemun,Save Kovačevića,garibaldijeva,Stan,76,3,EG,2,3,102600,2.796605785
1682,4047,Beograd,Palilula,Karaburma,garsije lorke,Stan,81,3,TA,VPR,5,88000,4.546165268
1683,5438,Beograd,Palilula,Karaburma,garsije lorke,Stan,81,3,TA,VPR,5,88000,4.546165268
1684,823,Beograd,Vračar,Hram svetog Save,gastona gravijea,Stan,57,2.5,CG,1,3,89000,1.732384788
1685,2462,Beograd,Vračar,Hram svetog Save,gastona gravijea,Stan,57,2.5,CG,1,3,89000,1.732384788
1686,3783,Beograd,Savski venac,Ekonomski fakultet,gavrila principa,Stan,43,2,EG,1,2,78000,0.472314759
1687,535,Beograd,Savski venac,Ekonomski fakultet,gavrila principa,Stan,23,1,TA,PR,1,29000,0.472314759
1688,2248,Beograd,Savski venac,Ekonomski fakultet,gavrila principa,Stan,23,1,TA,PR,1,29000,0.472314759
1689,3428,Beograd,Savski venac,Gavrila Principa,gavrila principa,Stan,130,4,CG,4,7,117000,0.472314759
1690,5333,Beograd,Savski venac,Gavrila Principa,gavrila principa,Stan,60,2,CG,1,3,85000,0.472314759
1691,5245,Beograd,Savski venac,Centar,gavrila principa,Stan,62,2.5,CG,4,6,96000,0.472314759
1692,1879,Beograd,Savski venac,Centar,gavrila principa,Stan,141,5,TA,3,4,190000,0.472314759
1693,123,Beograd,Savski venac,Centar,gavrila principa,Stan,141,5,TA,3,4,190000,0.472314759
1694,3796,Beograd,Savski venac,Centar,gavrila principa,Stan,56,2,CG,1,6,86000,0.472314759
1695,1634,Beograd,Savski venac,Gavrila Principa,gavrila principa,Stan,130,4,CG,4,7,117000,0.472314759
1696,5764,Beograd,Savski venac,Ekonomski fakultet,gavrila principa,Stan,59,2.5,CG,1,7,87000,0.472314759
1697,3959,Beograd,Palilula,Karaburma,generala aracica,Stan,25,0.5,TA,4,5,32000,3.01707148
1698,5848,Beograd,Palilula,Bogoslovija,generala aracica,Stan,65,2.5,EG,3,4,55000,3.01707148
1699,3571,Beograd,Vračar,Južni bulevar,generala horvatovica,Stan,58,2,CG,1,2,85000,2.926770727
1700,145,Beograd,Stari grad,Centar,generala lesjanina,Stan,189,5+,CG,1,2,539000,0.949725991
1701,1946,Beograd,Stari grad,Centar,generala lesjanina,Stan,189,5+,CG,1,2,539000,0.949725991
1702,5424,Beograd,Voždovac,Hotel M,generala rasica,Stan,47,2,EG,1,1,49000,1.840123291
1703,4811,Beograd,Voždovac,Naselje Stepa Stepanović,generala vladimira kondica,Stan,84,3,CG,1,6,96600,5.728096407
1704,5384,Beograd,Voždovac,Naselje Stepa Stepanović,generala vladimira kondica,Stan,84,3,CG,5,6,89000,5.728096407
1705,3,Beograd,Voždovac,Naselje Stepa Stepanović,generala stefanika,Stan,65,2,CG,VPR,7,84500,5.362646034
1706,1805,Beograd,Voždovac,Naselje Stepa Stepanović,generala stefanika,Stan,65,2,CG,VPR,7,84500,5.362646034
1707,3178,Beograd,Voždovac,Konjarnik,glasinacka,Stan,58,1.5,CG,5,5,53500,4.346785759
1708,1469,Beograd,Voždovac,Konjarnik,glasinacka,Stan,58,1.5,CG,5,5,53500,4.346785759
1709,5021,Beograd,Voždovac,Šumice,glasinacka,Stan,71,2,CG,1,6,82000,4.346785759
1710,5464,Beograd,Voždovac,Konjarnik,glasinacka,Stan,56,1.5,CG,5,5,55000,4.346785759
1711,5296,Beograd,Voždovac,Šumice,glasinacka,Stan,44,1,CG,PR,6,49800,4.346785759
1712,5409,Beograd,Voždovac,Konjarnik,glasinacka,Stan,52,1.5,CG,5,5,56000,4.346785759
1713,3912,Beograd,Zvezdara,Učiteljsko naselje,glasinacka,Stan,59,2,CG,PR,6,63000,4.346785759
1714,299,Beograd,Zemun,Centar,glavna,Stan,74,3,TA,2,4,96900,4.537482026
1715,4584,Beograd,Zemun,Centar,glavna,Stan,124,4,TA,2,2,120000,4.537482026
1716,4646,Beograd,Zemun,Centar,glavna,Stan,41,1.5,EG,2,3,52000,4.537482026
1717,1867,Beograd,Zemun,Centar,glavna,Stan,62,2.5,TA,1,2,65500,4.537482026
1718,3694,Beograd,Zemun,Centar,glavna,Stan,115,4.5,TA,1,1,210000,4.537482026
1719,2454,Beograd,Zemun,Centar,glavna,Stan,74,3,TA,2,4,96900,4.537482026
1720,134,Beograd,Zemun,Centar,glavna,Stan,62,2.5,TA,1,2,65500,4.537482026
1721,4279,Beograd,Zemun,Centar,glavna,Stan,102,4,TA,3,4,89000,4.537482026
1722,866,Beograd,Novi Beograd,Stari Merkator,goce delceva,Stan,45,2,CG,17,19,72000,4.195375021
1723,2725,Beograd,Novi Beograd,Stari Merkator,goce delceva,Stan,45,2,CG,17,19,72000,4.195375021
1724,3077,Beograd,Novi Beograd,Hotel Jugoslavija,goce delceva,Stan,78,2.5,CG,8,9,99000,4.195375021
1725,5400,Beograd,Novi Beograd,Hotel Jugoslavija,goce delceva,Stan,70,3,CG,8,9,108000,4.195375021
1726,1349,Beograd,Novi Beograd,Hotel Jugoslavija,goce delceva,Stan,78,2.5,CG,8,9,99000,4.195375021
1727,3453,Beograd,Novi Beograd,Hotel Jugoslavija,goce delceva,Stan,70,4,CG,8,9,108000,4.195375021
1728,5393,Beograd,Rakovica,Skojevsko naselje,godominska,Stan,33,1,EG,2,3,32900,5.500323116
1729,2654,Beograd,Vračar,Kalenić pijaca,golsvordijeva,Stan,56,3,CG,7,7,110800,1.712938075
1730,3296,Beograd,Vračar,Kalenić pijaca,golsvordijeva,Stan,71,2.5,CG,5,6,166004,1.712938075
1731,1272,Beograd,Vračar,Kalenić pijaca,golsvordijeva,Stan,70,3,CG,6,7,142500,1.712938075
1732,3349,Beograd,Vračar,Kalenić pijaca,golsvordijeva,Stan,77,3,CG,6,7,178000,1.712938075
1733,1184,Beograd,Vračar,Kalenić pijaca,golsvordijeva,Stan,56,3,CG,7,7,110800,1.712938075
1734,1678,Beograd,Vračar,Kalenić pijaca,golsvordijeva,Stan,70,3,CG,6,7,140000,1.712938075
1735,1685,Beograd,Vračar,Kalenić pijaca,golsvordijeva,Stan,77,3,CG,6,7,178000,1.712938075
1736,1138,Beograd,Vračar,Kalenić pijaca,golsvordijeva,Stan,71,2.5,CG,5,6,166004,1.712938075
1737,3408,Beograd,Vračar,Kalenić pijaca,golsvordijeva,Stan,70,3,CG,6,7,140000,1.712938075
1738,3074,Beograd,Vračar,Kalenić pijaca,golsvordijeva,Stan,77,3,CG,5,7,178000,1.712938075
1739,3235,Beograd,Vračar,Kalenić pijaca,golsvordijeva,Stan,77,3,CG,6,7,155000,1.712938075
1740,1526,Beograd,Vračar,Kalenić pijaca,golsvordijeva,Stan,77,3,CG,6,7,155000,1.712938075
1741,5151,Beograd,Vračar,Kalenić pijaca,golsvordijeva,Stan,75,3,CG,5,7,137000,1.712938075
1742,1507,Beograd,Vračar,Kalenić pijaca,golsvordijeva,Stan,77,3,CG,5,7,178000,1.712938075
1743,2713,Beograd,Vračar,Kalenić pijaca,golsvordijeva,Stan,70,3,CG,6,7,142500,1.712938075
1744,205,Beograd,Vračar,Kalenić pijaca,golsvordijeva,Stan,70,3,CG,6,7,133000,1.712938075
1745,1910,Beograd,Vračar,Kalenić pijaca,golsvordijeva,Stan,70,3,CG,6,7,133000,1.712938075
1746,3640,Beograd,Vračar,Crveni krst,golubacka,Stan,85,3,CG,6,7,240000,2.704334121
1747,5541,Beograd,Zvezdara,Vukov Spomenik,golubacka,Stan,52,2,CG,4,4,100000,2.704334121
1748,2689,Beograd,Novi Beograd,Ledine,golubinacka,Stan,53,2.5,TA,1,1,30000,2.704334121
1749,985,Beograd,Novi Beograd,Ledine,golubinacka,Stan,53,2.5,TA,1,1,30000,2.704334121
1750,4329,Beograd,Zemun,Kalvarija,gorana kovacica,Stan,72,2.5,Gas,VPR,2,80000,5.30481293
1751,54,Beograd,Voždovac,Autokomanda,gornjacka,Stan,46,2.5,TA,1,2,50000,0.757683811
1752,1979,Beograd,Voždovac,Autokomanda,gornjacka,Stan,46,2.5,TA,1,2,50000,0.757683811
1753,4054,Beograd,Zemun,Save Kovačevića,gornjogradska,Stan,50,2.5,CG,1,3,57900,5.784577537
1754,4695,Beograd,Zemun,Gornji grad,gornjogradska,Stan,42,1.5,EG,3,3,44000,5.784577537
1755,5532,Beograd,Zemun,Save Kovačevića,gornjogradska,Stan,68,2.5,CG,PR,3,72000,5.784577537
1756,1016,Beograd,Zemun,Save Kovačevića,gornjogradska,Stan,42,1.5,EG,PTK,2,44000,5.784577537
1757,2745,Beograd,Zemun,Save Kovačevića,gornjogradska,Stan,42,1.5,EG,PTK,2,44000,5.784577537
1758,2946,Beograd,Stari grad,Centar,gospodar jevremova,Stan,83,3,CG,1,9,170000,0.319193769
1759,4438,Beograd,Stari grad,Dorćol,gospodar jevremova,Stan,83,3.5,CG,1,9,170000,0.319193769
1760,1167,Beograd,Stari grad,Centar,gospodar jevremova,Stan,83,3,CG,1,9,170000,0.319193769
1761,5302,Beograd,Stari grad,Dorćol,gospodar jevremova,Stan,82,3,CG,1,9,169000,0.319193769
1762,5398,Beograd,Stari grad,Dorćol,gospodar jevremova,Stan,83,3,CG,1,9,170000,0.319193769
1763,3095,Beograd,Stari grad,Francuska,gospodar jevremova,Stan,112,3.5,CG,1,5,365000,0.319193769
1764,1453,Beograd,Stari grad,Francuska,gospodar jevremova,Stan,112,3.5,CG,1,5,365000,0.319193769
1765,6003,Beograd,Stari grad,Centar,gospodar jevremova,Stan,102,3.5,CG,1,6,365000,0.319193769
1766,4149,Beograd,Stari grad,Francuska,gospodar jevremova,Stan,102,3.5,CG,1,4,365000,0.319193769
1767,3467,Beograd,Stari grad,Studentski trg,gospodar jevremova,Stan,101,4,CG,3,4,249000,0.319193769
1768,3899,Beograd,Stari grad,Kalemegdan,gospodar jovanova,Stan,25,0.5,CG,2,6,67000,0.455557523
1769,4516,Beograd,Stari grad,Dorćol,gospodar jovanova,Stan,82,3,EG,3,3,144000,0.455557523
1770,3528,Beograd,Stari grad,Dorćol,gospodar jovanova,Stan,120,4,EG,VPR,3,255000,0.455557523
1771,5481,Beograd,Stari grad,Dorćol,gospodar jovanova,Stan,52,2,EG,6,6,93600,0.455557523
1772,238,Beograd,Vračar,Neimar,gospodara vucica,Stan,51,2.5,CG,3,3,91900,2.945033418
1773,2210,Beograd,Vračar,Neimar,gospodara vucica,Stan,51,2.5,CG,3,3,91900,2.945033418
1774,5750,Beograd,Voždovac,Lekino brdo,gospodara vucica,Stan,91,4,CG,1,3,150000,2.945033418
1775,5403,Beograd,Vračar,Južni bulevar,gospodara vucica,Stan,35,1.5,CG,1,4,64500,2.945033418
1776,5171,Beograd,Vračar,Gospodara Vučića,gospodara vucica,Stan,73,3,TA,VPR,6,72000,2.945033418
1777,3961,Beograd,Vračar,SC Vračar,gospodara vucica,Stan,66,3.5,EG,1,4,115011,2.945033418
1778,2420,Beograd,Vračar,Južni bulevar,gospodara vucica,Stan,88,3.5,CG,2,4,129900,2.945033418
1779,5593,Beograd,Vračar,Neimar,gospodara vucica,Stan,79,3,CG,1,4,131000,2.945033418
1780,243,Beograd,Voždovac,Lekino brdo,gospodara vucica,Stan,46,2,TA,SUT,3,46900,2.945033418
1781,628,Beograd,Zvezdara,Cvetkova pijaca,gospodara vucica,Stan,35,1.5,CG,VPR,5,50000,2.945033418
1782,4178,Beograd,Vračar,Južni bulevar,gospodara vucica,Stan,63,2,CG,VPR,4,96000,2.945033418
1783,4655,Beograd,Zvezdara,Cvetkova pijaca,gospodara vucica,Stan,177,4,EG,7,7,250000,2.945033418
1784,1773,Beograd,Voždovac,Šumice,gospodara vucica,Stan,66,3,EG,1,5,95000,2.945033418
1785,5723,Beograd,Voždovac,Vojislava Ilića,gospodara vucica,Stan,46,1.5,TA,SUT,3,48000,2.945033418
1786,555,Beograd,Vračar,Južni bulevar,gospodara vucica,Stan,88,3.5,CG,2,4,129900,2.945033418
1787,4989,Beograd,Vračar,Južni bulevar,gospodara vucica,Stan,57,2.5,CG,2,2,108870,2.945033418
1788,4774,Beograd,Voždovac,Šumice,gospodara vucica,Stan,69,3,EG,5,6,103000,2.945033418
1789,5499,Beograd,Voždovac,Lekino brdo,gospodara vucica,Stan,91,4,CG,1,4,135000,2.945033418
1790,3006,Beograd,Zvezdara,Lion,gospodara vucica,Stan,34,1,CG,VPR,4,50000,2.945033418
1791,2535,Beograd,Voždovac,Lekino brdo,gospodara vucica,Stan,46,2,TA,SUT,3,46900,2.945033418
1792,2253,Beograd,Zvezdara,Cvetkova pijaca,gospodara vucica,Stan,35,1.5,CG,VPR,5,50000,2.945033418
1793,3458,Beograd,Voždovac,Lekino brdo,gospodara vucica,Stan,59,2,CG,2,4,92000,2.945033418
1794,5145,Beograd,Zvezdara,Cvetkova pijaca,gospodara vucica,Stan,88,4,CG,1,7,135000,2.945033418
1795,1414,Beograd,Zvezdara,Lion,gospodara vucica,Stan,34,1,CG,VPR,4,50000,2.945033418
1796,133,Beograd,Voždovac,Šumice,gospodara vucica,Stan,66,3,EG,1,5,95000,2.945033418
1797,2663,Beograd,Zemun,Centar,gospodska,Stan,67,3,TA,1,3,89000,4.538247308
1798,2012,Beograd,Zemun,Centar,gospodska,Stan,173,5,TA,1,1,170000,4.538247308
1799,357,Beograd,Zemun,Centar,gospodska,Stan,173,5,TA,1,1,170000,4.538247308
1800,1317,Beograd,Zemun,Centar,gospodska,Stan,67,3,TA,1,3,89000,4.538247308
1801,941,Beograd,Voždovac,Vitanovačka,gostivarska,Stan,118,3,EG,2,2,145000,3.375635752
1802,2538,Beograd,Voždovac,Vitanovačka,gostivarska,Stan,118,3,EG,2,2,145000,3.375635752
1803,3473,Beograd,Voždovac,Saobraćajni fakultet,gostivarska,Stan,80,3.5,CG,3,6,102000,3.375635752
1804,1155,Beograd,Rakovica,Labudovo brdo,gocka,Stan,95,3.5,CG,4,6,84000,3.147461925
1805,825,Beograd,Rakovica,Labudovo brdo,gocka,Stan,90,3.5,CG,5,6,71500,3.147461925
1806,1004,Beograd,Rakovica,Petlovo brdo,gocka,Stan,94,3.5,CG,3,6,73900,3.147461925
1807,3975,Beograd,Rakovica,Labudovo brdo,gocka,Stan,174,5,CG,1,1,145000,3.147461925
1808,4268,Beograd,Rakovica,Labudovo brdo,gocka,Stan,94,3.5,CG,3,6,74900,3.147461925
1809,4950,Beograd,Rakovica,Labudovo brdo,gocka,Stan,90,4,CG,4,6,84000,3.147461925
1810,2431,Beograd,Rakovica,Labudovo brdo,gocka,Stan,91,3.5,CG,4,5,82000,3.147461925
1811,4892,Beograd,Rakovica,Petlovo brdo,gocka,Stan,86,3,CG,1,2,59900,3.147461925
1812,2773,Beograd,Rakovica,Labudovo brdo,gocka,Stan,90,3.5,CG,5,6,71500,3.147461925
1813,2567,Beograd,Rakovica,Petlovo brdo,gocka,Stan,94,3.5,CG,3,6,73900,3.147461925
1814,587,Beograd,Rakovica,Labudovo brdo,gocka,Stan,91,3.5,CG,4,5,82000,3.147461925
1815,3248,Beograd,Rakovica,Labudovo brdo,gocka,Stan,95,3.5,CG,4,6,84000,3.147461925
1816,5909,Beograd,Rakovica,Labudovo brdo,gocka,Stan,90,3.5,CG,5,6,71500,3.147461925
1817,5631,Beograd,Rakovica,Labudovo brdo,gocka,Stan,94,3.5,CG,1,6,82000,3.147461925
1818,1857,Beograd,Rakovica,Petlovo brdo,gocka,Stan,62,3,CG,PR,6,59000,3.147461925
1819,4485,Beograd,Vračar,Čubura,grahovska,Stan,45,1.5,CG,1,4,72000,2.275573634
1820,4117,Beograd,Vračar,Južni bulevar,grahovska,Stan,40,1.5,EG,1,4,70500,2.275573634
1821,4577,Beograd,Novi Beograd,Hotel Jugoslavija,gramsijeva,Stan,84,3,CG,2,5,149000,3.867242087
1822,5407,Beograd,Vračar,Hram svetog Save,granicarska,Stan,132,5,CG,VPR,2,187000,1.927882742
1823,2327,Beograd,Vračar,Hram svetog Save,granicarska,Stan,125,5,CG,VPR,3,185000,1.927882742
1824,637,Beograd,Vračar,Hram svetog Save,granicarska,Stan,125,5,CG,VPR,3,185000,1.927882742
1825,3705,Beograd,Vračar,Hram svetog Save,granicarska,Stan,125,5+,CG,VPR,2,185000,1.927882742
1826,2346,Beograd,Vračar,SC Vračar,grcica milenka,Stan,55,2,CG,14,20,62000,3.02705896
1827,805,Beograd,Vračar,SC Vračar,grcica milenka,Stan,55,2,CG,14,20,62000,3.02705896
1828,3203,Beograd,Palilula,Krnjača,grge andrijanovica,Stan,55,2,TA,PR,1,42000,3.452366244
1829,1290,Beograd,Palilula,Krnjača,grge andrijanovica,Stan,55,2,TA,PR,1,42000,3.452366244
1830,910,Beograd,Palilula,Krnjača,grge andrijanovica,Stan,45,1.5,TA,1,3,30000,3.452366244
1831,2586,Beograd,Palilula,Krnjača,grge andrijanovica,Stan,45,1.5,TA,1,3,30000,3.452366244
1832,6001,Beograd,Palilula,Krnjača,grge andrijanovica,Stan,42,2,TA,1,3,27000,3.452366244
1833,1922,Beograd,Palilula,Krnjača,grge andrijanovica,Stan,42,1.5,TA,PR,3,35000,3.452366244
1834,405,Beograd,Palilula,Krnjača,grge andrijanovica,Stan,42,1.5,TA,PR,3,35000,3.452366244
1835,250,Beograd,Palilula,Krnjača,grge andrijanovica,Stan,42,1.5,TA,PR,3,35000,3.452366244
1836,2038,Beograd,Palilula,Krnjača,grge andrijanovica,Stan,42,1.5,TA,PR,3,35000,3.452366244
1837,5452,Beograd,Palilula,Krnjača,grge andrijanovica,Stan,26,0.5,EG,1,4,25000,3.452366244
1838,3847,Beograd,Vračar,Čubura,grocanska,Stan,38,1.5,CG,1,6,53000,3.175817328
1839,80,Beograd,Vračar,Crveni krst,gruzanska,Stan,80,4,CG,5,7,145000,2.761787321
1840,1950,Beograd,Vračar,Crveni krst,gruzanska,Stan,80,4,CG,5,7,145000,2.761787321
1841,4644,Beograd,Vračar,Crveni krst,gruzanska,Stan,80,4,CG,5,6,145000,2.761787321
1842,4629,Beograd,Vračar,Crveni krst,"gruzanska, ispod vecitog mladozenje",Stan,54,2.5,TA,PR,1,49000,2.658421031
1843,6090,Beograd,Voždovac,Šumice,grcica milenka,Stan,27,1.5,TA,PR,1,30000,3.02705896
1844,4956,Beograd,Vračar,Crveni krst,grcica milenka,Stan,71,2,CG,15,20,78000,3.02705896
1845,539,Beograd,Vračar,Crveni krst,grcica milenka,Stan,44,1.5,CG,8,20,56000,3.02705896
1846,2413,Beograd,Vračar,Crveni krst,grcica milenka,Stan,44,1.5,CG,8,20,56000,3.02705896
1847,3157,Beograd,Vračar,Crveni krst,grcica milenka,Stan,44,2.5,CG,8,20,57000,3.02705896
1848,2631,Beograd,Vračar,Crveni krst,grcica milenka,Stan,70,2.5,CG,15,19,90000,3.02705896
1849,1464,Beograd,Vračar,Crveni krst,grcica milenka,Stan,44,2.5,CG,8,20,57000,3.02705896
1850,5624,Beograd,Vračar,Crveni krst,grcica milenka,Stan,72,2.5,CG,5,21,93600,3.02705896
1851,4215,Beograd,Vračar,Crveni krst,grcica milenka,Stan,42,1,CG,8,20,57000,3.02705896
1852,2187,Beograd,Voždovac,Lekino brdo,grcica milenka,Stan,86,3,CG,1,4,140000,3.02705896
1853,1097,Beograd,Vračar,Crveni krst,grcica milenka,Stan,70,2.5,CG,15,19,90000,3.02705896
1854,4812,Beograd,Vračar,Crveni krst,grcica milenka,Stan,70,2,CG,7,19,88000,3.02705896
1855,4044,Beograd,Vračar,Crveni krst,grcica milenka,Stan,78,3,TA,20,20,90000,3.02705896
