,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Cena
11469,Beograd,Zvezdara,Đeram pijaca,Djevdjelijska,Stan,102,4.0,188700
11470,Beograd,Zvezdara,Đeram pijaca,Djevdjelijska,Stan,58,3.0,107300
11471,Beograd,Zvezdara,Đeram pijaca,Djevdjelijska,Stan,59,3.0,110000
11472,Beograd,Vračar,Kalenić pijaca,Kičevska,Stan,24,0.5,27000
11473,Beograd,Rakovica,Petlovo brdo,Omladinsko šetalište,Stan,41,1.5,42000
11474,Beograd,Stari grad,Dorćol,Jevrejska,Stan,80,3.0,103000
11475,Beograd,Voždovac,Saobraćajni fakultet,Ljube Vučkovića,Stan,29,1.5,28900
11476,Beograd,Rakovica,Vidikovac,Vidikovački venac,Stan,64,2.5,62000
11477,Beograd,Vračar,Krunska,Hadži Đerina,Stan,70,2.5,105000
11478,Beograd,Voždovac,Lekino brdo,Braće Kovač,Stan,47,2.0,54000
11479,Beograd,Stari grad,Skupština,Milutina Bojića,Stan,62,2.5,155000
11480,Beograd,Zvezdara,Vukov Spomenik,Banjska,Stan,84,3.0,126390
11481,Beograd,Zvezdara,Vukov Spomenik,Banjska,Stan,99,4.0,139000
