,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena
3259,Beograd,Opština Vračar,Krunska,Mlatišumina,Stan,67.0,2.0,TA,VPR,3,94900.0
3260,Beograd,Opština Čukarica,Filmski grad,Ratka Mitrovića,Stan,69.0,2.5,Gas,3,5,79500.0
3261,Beograd,Opština Voždovac,Vojvode Stepe,Ljube Šercera,Stan,63.0,2.5,CG,2,4,92900.0
3262,Beograd,Opština Rakovica,Centar,Snezane Hrepevnik,Stan,42.0,1.5,CG,2,4,40000.0
3263,Beograd,Opština Voždovac,Medaković 3,Borivoja Stevanovića,Stan,59.0,2.0,CG,2,7,63800.0
3264,Beograd,Opština Zvezdara,Mirijevo,Matice Srpske,Stan,39.0,1.5,EG,1,4,35000.0
3265,Beograd,Opština Zemun,Gornji grad,Cara Dusana,Stan,120.0,3.0,EG,2,2,129000.0
3266,Beograd,Opština Rakovica,Miljakovac,Nikole Marakovića,Stan,93.0,3.5,CG,5,6,65000.0
3267,Beograd,Opština Palilula,Borča,Bele Bartoka,Stan,75.0,3.0,CG,1,3,68000.0
3268,Beograd,Opština Voždovac,Voždovačka crkva,Vojvode Stepe,Stan,135.0,4.0,CG,14,22,114900.0
3269,Beograd,Opština Voždovac,Medaković 3,Borivoja Stevanovića,Stan,65.0,2.5,CG,2,7,65000.0
3270,Beograd,Opština Voždovac,Konjarnik,Ustanička,Stan,42.0,2.0,CG,5,6,68000.0
3271,Beograd,Opština Čukarica,Železnik,Vlade Aksentijevića,Stan,75.0,2.5,TA,VPR,4,57000.0
3272,Beograd,Opština Voždovac,Lekino brdo,Kralja Bodina,Stan,143.0,5.0,CG,1,3,203000.0
3273,Beograd,Opština Palilula,Karaburma,Salvadora Aljendea,Stan,23.0,1.5,Gas,PR,4,27000.0
3274,Beograd,Opština Zvezdara,Kluz,Dragoljuba Ristića,Stan,42.0,1.5,EG,1,4,47000.0
3275,Beograd,Opština Zvezdara,Zvezdarska šuma,Veljka Dugoševića,Stan,58.0,2.0,CG,1,2,80000.0
3276,Beograd,Opština Novi Beograd,Blok 38,Omladinskih brigada,Stan,77.0,2.5,CG,4,4,90000.0
3277,Beograd,Opština Novi Beograd,Blok 63,Jurija Gagarina,Stan,71.0,2.5,CG,8,12,79900.0
3278,Beograd,Opština Zvezdara,Mirijevo,Šejkina,Stan,57.0,2.0,Gas,1,3,47000.0
3279,Beograd,Opština Palilula,Karaburma,Dr Đorđa Joanovića,Stan,55.0,2.5,TA,2,4,50000.0
3280,Beograd,Opština Vračar,Crveni krst,Timočka,Stan,102.0,3.0,CG,3,3,189000.0
3281,Beograd,Opština Palilula,Profesorska kolonija,draze pavlovica,Stan,47.0,2.0,CG,3,5,84900.0
