,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Cena
2995,Beograd,Vra?ar,Crveni krst,Kajmak?alanska,Stan,55.0,2.0,85000.0
2996,Beograd,Voždovac,Bra?e Jerkovi?,Mitropolita Pavla Nenadovi?a,Stan,186.0,4.0,130000.0
2997,Beograd,Voždovac,Bra?e Jerkovi?,Vojvode Vlahovi?a,Stan,45.0,2.0,46500.0
2998,Beograd,Zvezdara,Gradska bolnica,Živojina Žujovi?a,Stan,54.0,2.5,69000.0
2999,Beograd,Palilula,Padinska skela,Dejana Smiljkovi?a,Stan,65.0,3.0,34900.0
3000,Beograd,Novi Beograd,Bežanijska kosa 1,Ismeta Mujezinovi?a,Stan,67.0,2.0,75000.0
3001,Beograd,Palilula,Višnji?ka Banja, Višnji?ki venac,Stan,51.0,2.0,41000.0
3002,Beograd,Voždovac,Bra?e Jerkovi?,Bra?e Jerkovi?,Stan,70.0,2.5,80000.0
3003,Beograd,Voždovac,Bra?e Jerkovi?,Vladimira Mitrovi?a,Stan,60.0,2.5,68000.0
3004,Beograd,Novi Beograd,Arena,Španskih boraca,Stan,60.0,2.0,73000.0
3005,Beograd,Vra?ar,Kaleni? pijaca,Mileševska,Stan,111.0,3.0,315000.0
3006,Beograd,Palilula,Karaburma,Mirijevski bulevar,Stan,20.0,0.5,26000.0
3007,Beograd,Rakovica,Vidikovac,Susedgradska,Stan,50.0,1.5,40000.0
3008,Beograd,Palilula,Profesorska kolonija,Primorska,Stan,41.0,2.0,47000.0
3009,Beograd,Vra?ar,Južni bulevar,Mlade Bosne,Stan,42.0,1.5,62000.0
3010,Beograd,Vra?ar,Hram svetog Save,Ma?vanska,Stan,150.0,4.0,450000.0
3011,Beograd,Stari grad,Centar,Vlajkovi?eva,Stan,84.0,3.0,110000.0
3012,Beograd,Palilula,Karaburma,Husinskih rudara,Stan,140.0,3.0,99000.0
3013,Beograd,Voždovac,Lekino brdo,Ba?vanska,Stan,64.0,2.0,100000.0
3014,Beograd,Voždovac,Voždova?ka crkva,Vojvode Stepe,Stan,110.0,3.0,100000.0
3015,Beograd,Voždovac,Voždova?ka crkva,Vojvode Stepe,Stan,110.0,3.0,100000.0
