,Unnamed: 0,Ulica,Koordinate,Od centra
1050,726,primucura zarka,"(0.0, 0.0)",5.319703205859453
1051,732,prvog sremskog odreda,"(0.0, 0.0)",5.319703205859453
1052,733,pukovnika pejovica,"(0.0, 0.0)",5.319703205859453
1053,753,rajacka,"(0.0, 0.0)",5.319703205859453
1054,757,ranka miljica,"(0.0, 0.0)",5.319703205859453
1055,767,rudi cajavec,"(0.0, 0.0)",5.319703205859453
1056,768,rudi cajevac,"(0.0, 0.0)",5.319703205859453
1057,769,rudija cajaveca,"(0.0, 0.0)",5.319703205859453
1058,775,ruvarceva,"(0.0, 0.0)",5.319703205859453
1059,777,s. m.mike,"(0.0, 0.0)",5.319703205859453
1060,786,skadarska ugao despota stefana,"(0.0, 0.0)",5.319703205859453
1061,798,stojana protica,"(0.0, 0.0)",5.319703205859453
1062,824,senjanin ive,"(0.0, 0.0)",5.319703205859453
1063,844,slankamenacki put,"(0.0, 0.0)",5.319703205859453
1064,861,srpsko grckog prijateljstva,"(0.0, 0.0)",5.319703205859453
1065,897,svetislava ristica,"(0.0, 0.0)",5.319703205859453
1066,899,svetog raf. sisatovackog,"(0.0, 0.0)",5.319703205859453
1067,907,trnska,"(0.0, 0.0)",5.319703205859453
1068,912,teodosijeva,"(0.0, 0.0)",5.319703205859453
1069,923,toplicka,"(0.0, 0.0)",5.319703205859453
1070,942,"ugrinovacka, pocetak, ispod cukovca","(0.0, 0.0)",5.319703205859453
1071,944,univerzijade,"(0.0, 0.0)",5.319703205859453
1072,945,unska,"(0.0, 0.0)",5.319703205859453
1073,946,"uzdinska, kod kafea medun","(0.0, 0.0)",5.319703205859453
1074,953,veletinska,"(0.0, 0.0)",5.319703205859453
1075,956,vlajka djuranovica,"(0.0, 0.0)",5.319703205859453
1076,960,vukova,"(0.0, 0.0)",5.319703205859453
1077,962,valentina vodnika,"(0.0, 0.0)",5.319703205859453
1078,980,vidikovacki venac (partizanska),"(0.0, 0.0)",5.319703205859453
1079,981,vijetnamska,"(0.0, 0.0)",5.319703205859453
1080,990,visnjiceva druga,"(0.0, 0.0)",5.319703205859453
1081,995,vladimira dujica,"(0.0, 0.0)",5.319703205859453
1082,1000,vladimira pogacica,"(0.0, 0.0)",5.319703205859453
1083,1018,vojvode jakse,"(0.0, 0.0)",5.319703205859453
1084,1031,vucitrnska,"(0.0, 0.0)",5.319703205859453
1085,1048,zimonjiceca,"(0.0, 0.0)",5.319703205859453
1086,1056,blizu milesevske,"(0.0, 0.0)",5.319703205859453
1087,1057,blizu zvecanske,"(0.0, 0.0)",5.319703205859453
1088,1058,cunstendiska,"(0.0, 0.0)",5.319703205859453
1089,1059,dr acima medovica,"(0.0, 0.0)",5.319703205859453
1090,1060,gleda na vukice mitrovic,"(0.0, 0.0)",5.319703205859453
1091,1067,nova 114 11b st,"(0.0, 0.0)",5.319703205859453
1092,1071,cede minderovica,"(0.0, 0.0)",5.319703205859453
1093,1076,cice romanijskog,"(0.0, 0.0)",5.319703205859453
1094,1080,djoke vojvodica,"(0.0, 0.0)",5.319703205859453
1095,1093,zike mesarovica,"(0.0, 0.0)",5.319703205859453
1096,1095,zitomislicka,"(0.0, 0.0)",5.319703205859453
